DAYS,SESSO,FASCIA,COMBO,ENOJY,CAR2GO,TOTAL,,,,,,,,,,,,,
afternoon,['1'],['1'],['1']['1'],1.129740668,1.142820042,1.127241502,,,,,,,,,,,,,
afternoon,['1'],['2'],['1']['2'],0.801530036,0.769340461,0.764512412,,,,,,,,,,,,,
afternoon,['1'],['3'],['1']['3'],0.936594859,0.890365194,0.89483938,,,,,,,,,,,,,
afternoon,['1'],['4'],['1']['4'],1.060787808,1.032192963,1.026903012,,,,,,,,,,,,,
afternoon,['2'],['1'],['2']['1'],1.160141283,1.1342139,1.136692428,,,,,,,,,,,,,
afternoon,['2'],['2'],['2']['2'],0.872679402,0.832043583,0.829247979,,,,,,,,,,,,,
afternoon,['2'],['3'],['2']['3'],0.95503402,0.92398601,0.924218917,,,,,,,,,,,,,
afternoon,['2'],['4'],['2']['4'],1.089625489,1.040536812,1.05000478,,,,,,,,,,,,,
alldays,['1'],['1'],['1']['1'],1.16599129,1.175727099,1.162837679,,,,,,,,,,,,,
alldays,['1'],['2'],['1']['2'],0.820707743,0.814242953,0.801960619,,,,,,,,,,,,,
alldays,['1'],['3'],['1']['3'],0.956900587,0.933375742,0.929257247,,,,,,,,,,,,,
alldays,['1'],['4'],['1']['4'],1.084671503,1.06540936,1.064376605,,,,,,,,,,,,,
alldays,['2'],['1'],['2']['1'],1.181968417,1.180653081,1.173240649,,,,,,,,,,,,,
alldays,['2'],['2'],['2']['2'],0.890772327,0.872455143,0.862973247,,,,,,,,,,,,,
alldays,['2'],['3'],['2']['3'],0.97742928,0.972535621,0.963173579,,,,,,,,,,,,,
alldays,['2'],['4'],['2']['4'],1.09734023,1.065129357,1.065286681,,,,,,,,,,,,,
morning,['1'],['1'],['1']['1'],1.266612048,1.285515418,1.272137,,,,,,,,,,,,,
morning,['1'],['2'],['1']['2'],0.945787166,0.958426549,0.929943879,,,,,,,,,,,,,
morning,['1'],['3'],['1']['3'],1.076531875,1.056391567,1.048275731,,,,,,,,,,,,,
morning,['1'],['4'],['1']['4'],1.186971429,1.18257211,1.167376154,,,,,,,,,,,,,
morning,['2'],['1'],['2']['1'],1.290944327,1.306015819,1.291555564,,,,,,,,,,,,,
morning,['2'],['2'],['2']['2'],1.001228464,1.00260741,0.975753798,,,,,,,,,,,,,
morning,['2'],['3'],['2']['3'],1.083136218,1.086247598,1.062562082,,,,,,,,,,,,,
morning,['2'],['4'],['2']['4'],1.169048255,1.179553151,1.154275455,,,,,,,,,,,,,
weekdays,['1'],['1'],['1']['1'],1.158618353,1.181484501,1.163616901,,,,,,,,,,,,,
weekdays,['1'],['2'],['1']['2'],0.814565847,0.821764612,0.803906122,,,,,,,,,,,,,
weekdays,['1'],['3'],['1']['3'],0.956107833,0.937253887,0.930582461,,,,,,,,,,,,,
weekdays,['1'],['4'],['1']['4'],1.081502108,1.070574837,1.060154452,,,,,,,,,,,,,
weekdays,['2'],['1'],['2']['1'],1.176755373,1.183160055,1.173873716,,,,,,,,,,,,,
weekdays,['2'],['2'],['2']['2'],0.889665589,0.878831345,0.862391624,,,,,,,,,,,,,
weekdays,['2'],['3'],['2']['3'],0.977434998,0.979335528,0.966754176,,,,,,,,,,,,,
weekdays,['2'],['4'],['2']['4'],1.094684194,1.068997231,1.066686119,,,,,,,,,,,,,
weekends,['1'],['1'],['1']['1'],1.191400248,1.165728012,1.172803531,,,,,,,,,,,,,
weekends,['1'],['2'],['1']['2'],0.845986087,0.804918123,0.811994325,,,,,,,,,,,,,
weekends,['1'],['3'],['1']['3'],0.966128382,0.932638721,0.944007724,,,,,,,,,,,,,
weekends,['1'],['4'],['1']['4'],1.100299742,1.072983812,1.08088046,,,,,,,,,,,,,
weekends,['2'],['1'],['2']['1'],1.197640205,1.174460003,1.177700189,,,,,,,,,,,,,
weekends,['2'],['2'],['2']['2'],0.908381792,0.867270747,0.875767583,,,,,,,,,,,,,
weekends,['2'],['3'],['2']['3'],0.989224387,0.961132584,0.966208085,,,,,,,,,,,,,
weekends,['2'],['4'],['2']['4'],1.111556798,1.061308147,1.07904079,,,,,,,,,,,,,
